state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
taker_imbalance_diff=Q1,direction_1h_atr,taker_imbalance_diff,1,15955,-0.04119702795315104,7882,-0.035957730466278044,8073,-0.04622378222285654,15816,0.00515512347605338,7426,-0.0009433241926590577,8390,0.014483679853781134,,,False
taker_imbalance_diff=Q1,up_first_1atr_1h,taker_imbalance_diff,1,15628,-0.007407047318153781,7725,-0.004597287028178854,7903,-0.010156193014066228,15474,-0.002839051299400319,7256,-0.00825710533256363,8218,0.001942681048352879,-1,0.002839051299400319,False
taker_imbalance_diff=Q2,direction_1h_atr,taker_imbalance_diff,2,15780,0.005427327025148185,8356,-0.007217233008548457,7424,0.016603729981575825,15881,-0.025248677820768613,8247,-0.020469779566415842,7634,-0.033365391584782945,,,False
taker_imbalance_diff=Q2,up_first_1atr_1h,taker_imbalance_diff,2,15440,-0.003696439547591801,8154,-0.00047199025323252375,7286,-0.0071607391808067855,15541,0.0019257572803755285,8070,0.00303237658489236,7471,0.000731980365166085,,,False
taker_imbalance_diff=Q3,direction_1h_atr,taker_imbalance_diff,3,16114,0.010494173024387002,8452,0.018999973686517194,7662,-0.0014714356005614895,16030,-0.008122837454518634,8431,-0.0387914650966866,7599,0.021920010640095425,,,False
taker_imbalance_diff=Q3,up_first_1atr_1h,taker_imbalance_diff,3,15687,0.001201105233060551,8244,-0.001892784076929832,7443,0.004760293460754295,15582,-0.004579110978923384,8183,-0.0066503745958506055,7399,-0.0022863309756947503,,,False
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,16453,0.009963684951095106,8165,0.00837982692746568,8288,0.011426789155979993,16217,0.008135955430126936,8431,0.0015887616267204613,7786,0.012181777229162936,1,0.008135955430126936,True
taker_imbalance_diff=Q4,up_first_1atr_1h,taker_imbalance_diff,4,16071,0.005319305190057133,7962,0.00598214000752223,8109,0.004670375903076229,15853,0.0021196677174008527,8251,0.006295756323175028,7602,-0.0024112794220155775,1,0.0021196677174008527,False
taker_imbalance_diff=Q5,direction_1h_atr,taker_imbalance_diff,5,16730,0.01426298553020601,7263,0.01579470826014512,9467,0.017583966784476802,16403,0.019368963894405372,7569,0.06466843578995932,8834,-0.014514846386160109,1,0.01426298553020601,False
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,16378,0.004182566284191835,7118,0.0010307620129048067,9260,0.00638602555454465,16067,0.0032210058419265275,7410,0.005116870060503043,8657,0.0015956487110787565,1,0.0032210058419265275,True
perp_spot_basis_bps=Q1,direction_1h_atr,perp_spot_basis_bps,1,16051,0.00046702092173261933,4238,0.010584932102702047,11813,0.009940396636034757,16163,-0.004601259003853417,4778,-0.027086518446347713,11385,0.02518230351225115,,,False
