outcome,state,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect,stable,sign
direction_1h_atr,perp_taker_imbalance=Q2,21079,0.011896795283850237,10843,0.006377034331463263,10236,0.016753172904854355,21079,-0.001959553805148572,10914,-0.03110654817860147,10165,0.026990589582809185,False,
direction_1h_atr,perp_taker_imbalance=Q3,21078,-0.010488802646727663,10803,-0.01610895197799507,10275,-0.005459248378565561,21078,0.005524797191986331,11171,0.027671622029545324,9907,-0.023282148707648893,False,
direction_1h_atr,perp_taker_imbalance=Q4,21079,-0.017122629054806326,10745,-0.0051253595368141724,10334,-0.03031306989302011,21079,-0.038873683583282685,11020,-0.0418968548269604,10059,-0.038510246733098455,True,-1
direction_1h_atr,perp_taker_imbalance=Q5,21079,-0.005204191532738191,10068,0.005568101862466812,11011,-0.014005921958276157,21079,0.032026039909372264,9760,0.06785582047658018,11319,0.004630638919139745,False,
direction_1h_atr,taker_imbalance_diff=Q1,21079,-0.038830855632677984,10453,-0.0383391171265251,10626,-0.03924219111251224,21079,0.0072145072468252774,9864,0.002530860859535994,11215,0.014356023746302857,False,
direction_1h_atr,taker_imbalance_diff=Q2,21079,-0.008176348490302743,11233,-0.01775303853716407,9846,0.0006113718168299642,21079,-0.02527590635668072,10936,-0.03725154500851866,10143,-0.014832839694191321,False,
direction_1h_atr,taker_imbalance_diff=Q3,21078,0.008797125001588038,11173,0.006955206454233379,9905,0.008917596547984644,21078,-0.01368657063855782,11009,-0.036073846211986955,10069,0.007902403631338688,False,
direction_1h_atr,taker_imbalance_diff=Q4,21079,0.020170400773489514,10446,0.029156502640384094,10633,0.011433101366992833,21079,0.015692313689830612,10961,0.023630850277088604,10118,0.004481574759573154,True,1
direction_1h_atr,taker_imbalance_diff=Q5,21079,0.018040095688621513,9097,0.02395287731306242,11982,0.016781087899351066,21079,0.016055006759724145,9632,0.05404253610416252,11447,-0.011834296224156058,False,
direction_1h_atr,perp_spot_basis_bps=Q1,21079,0.009995211922827596,5557,0.002242754994485799,15522,0.02164412295384114,21079,0.02049166646671594,6081,-0.0050576788212965615,14998,0.046977335694830764,False,
direction_1h_atr,perp_spot_basis_bps=Q2,21079,0.0005116978604683409,7343,-0.009574751555114981,13736,0.012293568090707682,21079,-0.013614299158824944,7679,0.01618555037864349,13400,-0.019197736110763433,False,
direction_1h_atr,perp_spot_basis_bps=Q3,21078,-0.020967604066766524,9011,0.02180243193533961,12067,-0.04950043958404782,21078,-0.05620127611707937,8283,0.028142943115672094,12795,-0.10136274262597317,False,
direction_1h_atr,perp_spot_basis_bps=Q4,21079,0.013647664362399253,14745,-0.00530248539746736,6334,0.038927319739031525,21079,0.0804239548410406,15613,0.054244274320456455,5466,0.10358155597788761,False,
direction_1h_atr,perp_spot_basis_bps=Q5,21079,-0.0031879647942409037,15746,-0.0038379369883676656,5333,-0.028889624329608826,21079,-0.03110271225302577,14746,-0.07958476530840208,6333,0.044756527721040766,False,
direction_1h_atr,log_quote_volume_ratio=Q1,21079,0.016553772758402252,12981,0.03908207999863439,8098,-0.028196906527304496,21079,0.048726324511338986,13282,0.07026068717025868,7797,-0.007710055613004431,False,
direction_1h_atr,log_quote_volume_ratio=Q2,21079,0.03976875157262787,12468,-9.499026847581415e-05,8611,0.09103122627019897,21079,0.025561857729151403,12267,0.015282089679776609,8812,0.028726566687876307,False,
direction_1h_atr,log_quote_volume_ratio=Q3,21078,-0.006037169659873623,11331,-0.031251916601123766,9747,0.020832820214536606,21078,-0.02043185754119601,11246,-0.051283353991483,9832,0.01057348245463309,False,
direction_1h_atr,log_quote_volume_ratio=Q4,21079,-0.006946574560318143,9751,-0.0002637565038641626,11328,-0.010897540822568288,21079,-4.613073531947037e-05,9514,-0.013530074421463915,11565,0.015640892987202143,False,
direction_1h_atr,log_quote_volume_ratio=Q5,21079,-0.04333906651767262,5871,-0.025456103750366846,15208,-0.041763643907654295,21079,-0.05381116326316089,6093,-0.06814543148911369,14986,-0.03188766908647509,True,-1
direction_1h_atr,log_trade_count_ratio=Q1,21079,0.002114587446284677,966,0.0431227021772235,20113,0.01337857283164881,21079,0.035362199690933474,308,0.23578651612375476,20771,0.0593144289802506,True,1
direction_1h_atr,log_trade_count_ratio=Q2,21079,-0.008949995064204595,5373,0.00970900046643225,15706,-0.006235963665949529,21079,-0.0364513876991934,4001,0.1570523799072399,17078,-0.060926863563154174,False,
direction_1h_atr,log_trade_count_ratio=Q3,21078,0.043054861249079784,11852,0.05674033268824462,9226,0.02131395584789627,21078,0.01480412933357354,10710,0.05504596199142079,10368,-0.027984678985131628,False,
direction_1h_atr,log_trade_count_ratio=Q4,21079,-0.036210884733453005,15031,-0.03164265818152576,6048,-0.06861241117251257,21079,0.019315457014039656,16896,-0.004946882564280761,4183,0.032999054672662065,False,
direction_1h_atr,log_trade_count_ratio=Q5,21079,-6.526350088409405e-06,19180,-0.015155819484040677,1899,0.024846822587212027,21079,-0.03302969602286133,20487,-0.05891289813525709,592,-0.0665556121539509,False,
direction_1h_atr,spot_taker_imbalance_change_15m=Q1,21079,-0.0015557410117069403,9713,0.00101396737898167,11366,-0.0018627022573714583,21079,0.01597083238666962,9936,0.03482298630598025,11143,0.0018471091972657849,False,
direction_1h_atr,spot_taker_imbalance_change_15m=Q2,21079,0.00968426341372973,10873,0.010190885857442655,10206,0.0080686807166259,21079,-0.024567314291588007,10826,-0.047546097374870436,10253,-0.002156888372469379,False,
direction_1h_atr,spot_taker_imbalance_change_15m=Q3,21078,0.003323903368805399,11200,0.003072363494615843,9878,0.0015700504917221525,21078,0.01970818062748968,10980,0.027429412458912943,10098,0.008590438609579802,True,1
direction_1h_atr,spot_taker_imbalance_change_15m=Q4,21079,0.0032924661869393676,10960,-0.02262338079463324,10119,0.030036585437619563,21079,0.00667506336926673,10712,0.0063838131231639395,10367,0.005748364999947225,False,
direction_1h_atr,spot_taker_imbalance_change_15m=Q5,21079,-0.014744734269861628,9656,0.009619678468253942,11423,-0.03332107575392663,21079,-0.01778582712430505,9948,-0.020187524801977105,11131,-0.013009371155888403,False,
direction_1h_atr,spot_taker_imbalance_change_1h=Q1,21079,0.0001534388780093307,9643,0.011846450756966956,11436,-0.007657580736035008,21079,0.001475272449983231,9930,0.018497625976645497,11149,-0.010971382962979651,False,
direction_1h_atr,spot_taker_imbalance_change_1h=Q2,21079,0.007459853091578331,10881,-0.014125786446476808,10198,0.02939252754780717,21079,0.02179144765821794,10825,-0.0001950042560020862,10254,0.043155218788851944,False,
direction_1h_atr,spot_taker_imbalance_change_1h=Q3,21078,0.021616457219251706,11286,-0.0011855450416831254,9792,0.045594782176207195,21078,0.006225467946752029,10887,-0.0017964957452397123,10191,0.012599724176187552,False,
direction_1h_atr,spot_taker_imbalance_change_1h=Q4,21079,-0.01654992607846685,11001,-0.017016410322100307,10078,-0.017485539745545186,21079,-0.021979261104064108,10843,-0.03400606060362689,10236,-0.011186198604828125,True,-1
direction_1h_atr,spot_taker_imbalance_change_1h=Q5,21079,-0.012678797613089939,9591,0.02502814607116495,11488,-0.04199318768706979,21079,-0.007512631611074735,9917,0.020844575922827895,11162,-0.029931510926996453,False,
direction_1h_atr,perp_taker_imbalance_change_15m=Q1,21079,-0.006006901886282369,10107,-0.01364294907740702,10972,0.0019794367302505486,21079,0.012693713675869259,9638,0.02108200170597501,11441,0.00967569565970851,False,
direction_1h_atr,perp_taker_imbalance_change_15m=Q2,21079,0.020557408142777886,10671,0.02783149862089851,10408,0.012587477539890042,21079,-0.01787431218440646,10926,-0.015654010083069353,10153,-0.022675929516058464,False,
