interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
109,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777654500,1777655100,237132;237146
110,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777999200,1777999800,295971
111,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778000100,1778000700,293682;293683;289565;237159;237226
112,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778080200,1778080800,274873
113,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778088300,1778088900,291477
114,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778167500,1778168100,295454
115,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778253900,1778254500,277607;277619;277643
116,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778518500,1778519100,287282
117,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778599500,1778600100,277487;277499;277511;277791;277803
118,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778615700,1778616300,286525
119,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778685900,1778686500,277439
120,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778693100,1778693700,292377
121,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778702100,1778702700,286528
122,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1778772300,1778772900,270279;270291;295455
123,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1779297900,1779298500,293519
