state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_block_p,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_block_p,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_eb_screen_pass
premium_index_change_15m|1h|Q2->Q5,direction_1h_atr,4024,-0.062075333332047455,1939,-0.021094554946630338,2085,-0.09935814163124085,3962,-0.08083016627911392,1956,-0.09597246219695779,2006,-0.06568407399003894,True,True,-1,0.062075333332047455,True,3333,0.05817736331948187,,848,0.1545351674682991,690,0.09524347087086187,832,0.059470711292711365,963,-0.036006856200185476,4183,-0.0585033682480106,0.11462845718093968,1014,-0.08912138118339853,1014,-0.11822585075498954,1046,0.01359614165030737,1109,-0.04167955174449314,False,,False,8,4,0.5,False,1.0,1.0,False
oi_change_1h_pct|1h|Q5->Q1,direction_1h_atr,5110,0.08227820863175245,2496,0.10923598095313992,2614,0.057015695534892476,5143,0.060680576572319414,2700,0.020516126964872226,2443,0.10185462931072839,True,True,1,0.060680576572319414,True,4171,0.059793230438463546,0.21892702432522493,914,0.27506101313734704,1318,-0.1427490642545723,753,-0.02906958703288703,1186,0.17035904678678737,7119,-0.049233578297285016,,1166,0.03890848153466525,2042,-0.07799875442686409,1718,-0.0727618226156527,2193,-0.07111615654034611,False,,False,8,3,0.375,False,1.0,1.0,False
premium_index_close|15m|Q1->Q1,direction_1h_atr,13125,0.08314089237407099,5132,0.158682162455068,7993,0.039516779038334,13142,0.05978251223524411,4374,0.03111182791565261,8768,0.08762984113946147,True,True,1,0.05978251223524411,True,21971,0.05679507045154167,0.0923025658113962,5353,0.06332565993548407,7612,0.06948840611384673,2731,0.006229925243920312,6275,0.05988866005674841,22393,-0.048298687826804784,,5049,-0.02042177459812622,6167,0.0007012051364136199,3811,-0.16585700591208408,7366,-0.02300958946908678,False,,False,8,5,0.625,False,1.0,1.0,False
premium_index_change_1h|15m|Q1->Q2,direction_1h_atr,4630,0.06781797910175183,2331,0.08130570278816192,2299,0.05379013235362421,4562,0.05971712155932639,2359,0.07726875037244924,2203,0.03865747184275501,True,True,1,0.05971712155932639,True,3829,0.001968567963806938,0.48817060979673443,1001,0.12256338649563231,914,-0.009566401901934848,937,-0.13904763751221877,977,0.032784916508946174,4450,-0.023737586638439234,,1054,-0.01690661601771029,1077,-0.07347641780431649,1154,0.014635406283745267,1165,-0.02570761210314796,False,,False,8,3,0.375,False,1.0,1.0,False
oi_change_1h_pct|15m|Q1->Q4,direction_1h_atr,948,-0.06173275724982814,502,-0.09078481419524884,446,-0.03095561075508963,935,-0.05879043595591338,470,-0.016897687403349834,465,-0.10173862565466156,True,True,-1,0.05879043595591338,True,804,-0.08318124799345382,0.2255914695101633,185,-0.26267993842761167,231,-0.05546972707298589,138,-0.044624947417618153,250,0.012112258870074832,1186,0.12254978281413911,,151,-0.32091366609142796,322,0.09354740173188864,366,0.2204473534223421,347,0.18295447104882387,False,,False,8,4,0.5,False,1.0,1.0,False
premium_index_change_1h|1h|Q2->Q1,direction_1h_atr,2600,0.05748201251478638,1396,0.04998633185772183,1204,0.0637733766004612,2585,0.09139589800842574,1457,0.11920084468513772,1128,0.047111215830013466,True,True,1,0.05748201251478638,True,1584,0.006937201116214726,0.46384538487170945,482,0.18559854055563763,338,-0.2044547872899105,379,-0.07899308846799225,385,0.07873170143545719,2316,-0.03937412330292768,,575,0.13471495021778476,529,-0.027724280977408648,580,-0.06628315118651606,632,-0.17554389916269,False,,False,8,3,0.375,False,1.0,1.0,False
mark_index_bps_change_1h|15m|Q2->Q4,direction_1h_atr,3785,0.06256637309261037,1678,0.08731560117838975,2107,0.045563534937424065,3931,0.056286702218826146,1595,0.11893490384442484,2336,0.021971546781912776,True,True,1,0.056286702218826146,True,5100,-0.03828815235939589,,1134,0.009706481089759536,1179,-0.10217192887075759,1319,0.01870812397475108,1468,-0.07104206798917598,4601,-0.008581328233311005,,1105,0.06268996151821163,1177,-0.10816346623168815,1111,0.050911907523301214,1208,-0.02921382467111884,False,,False,8,4,0.5,False,1.0,1.0,False
premium_index_change_1h|15m|Q1->Q1,direction_1h_atr,7570,0.053189028068403574,4353,0.07839474955933694,3217,0.013959016153295388,7558,0.13412035440001394,4745,0.17239176556834615,2813,0.050271227725080754,True,True,1,0.053189028068403574,True,3358,0.005230788063178438,0.4675108297234255,1236,0.07873357576066853,702,-0.04814681268924072,676,0.02670943765732249,744,-0.03627935259077019,5583,-0.058465278428133746,,1410,0.048162107591280125,1302,-0.10609504763141753,1362,-0.09499569270274542,1509,-0.07385636179524903,False,,False,8,3,0.375,False,1.0,1.0,False
mark_index_bps_change_15m|15m|Q3->Q1,direction_1h_atr,3302,0.05173380748755603,1722,0.010217536489362897,1580,0.09556054999755062,3326,0.11185673470277804,1782,0.10072889206183375,1544,0.12013126922506649,True,True,1,0.05173380748755603,True,2747,0.18974365356800993,0.001999333555481506,729,0.16461489050517353,654,0.23303383042012243,724,0.28865834565109827,640,0.06427642705537395,3204,0.05989216613750002,0.15028323892035989,779,0.03322142499680302,772,-0.03826587523469986,846,0.229502439808382,807,-0.0030100789601913286,True,0.05989216613750002,True,8,6,0.75,True,0.15028323892035989,1.0,False
mark_index_bps_change_1h|15m|Q2->Q1,direction_1h_atr,4765,0.10870508165393258,2442,0.17473185298956156,2323,0.038418819636133215,4610,0.05154767782749993,2385,0.008147683082213447,2225,0.09577308614538804,True,True,1,0.05154767782749993,True,3862,0.06580876637269549,0.137620793068977,1016,0.03138413604528817,1006,0.12336590739195859,993,0.021355510964139943,847,0.08366013217926296,4539,-0.05620728220477937,,1099,-0.06981267910914608,1112,0.0433290532236801,1223,-0.14998846842965707,1105,-0.04858454577520023,False,,False,8,5,0.625,False,1.0,1.0,False
