state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q5,direction_1h_atr,207,-0.04371507972037783,109,-0.01512161919486782,98,-0.07725005816923443,192,-0.11760595065786572,115,0.19904854627407342,77,-0.604482868127553,False,False,0,0.01512161919486782,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,201,-0.02970993765749691,106,-0.043332188879987577,95,-0.014355142780194396,183,-0.009015849490316696,108,0.05115390458661445,75,-0.09556457091833759,False,False,0,0.009015849490316696,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1,direction_1h_atr,672,-0.0899724998401718,357,-0.16068634254254577,315,-0.011858106285831164,653,0.1780530791900538,319,0.10917893351102287,334,0.24476619367914484,True,False,0,0.011858106285831164,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,653,-0.018045442369770126,345,-0.017901507994015464,308,-0.018046188576503364,634,0.014109075092952061,312,0.008062736495446365,322,0.01996337939222137,True,False,0,0.008062736495446365,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q2,direction_1h_atr,1236,0.048169473574650255,646,0.055194559144257166,590,0.03898872250920687,1205,0.09212606022630768,581,0.13971895238996332,624,0.04940836130474595,True,True,1,0.03898872250920687,True
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,1195,0.0055572410931015725,629,0.01576131083504373,566,-0.0056328069051711505,1182,0.019027755402751423,563,-0.0013590879796640531,619,0.037553361230289184,True,False,0,0.0013590879796640531,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q3,direction_1h_atr,1185,0.023219111560831653,614,0.12890476276143148,571,-0.09163908072589722,1190,0.09503311666535015,566,0.15201045355041762,624,0.045611801883167075,True,False,0,0.023219111560831653,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,1158,-0.0016894184916679822,602,0.00383762244076713,556,-0.00755847485137956,1165,0.031683979304917675,551,0.05113710012334899,614,0.014207416052346433,True,False,0,0.0016894184916679822,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q4,direction_1h_atr,957,-0.0770255078462445,474,-0.2141116482859777,483,0.0576106753044958,903,0.05630902138176916,444,0.148932202709969,459,-0.03269322645560266,True,False,0,0.03269322645560266,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,942,-0.007987340452439373,466,-0.015475682280262915,476,-0.0006665094321183229,886,0.0023880163523605225,433,-0.003225532587279978,453,0.007746687359808102,True,False,0,0.0006665094321183229,False
rsi14=Q2 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q5,direction_1h_atr,370,-0.08530310722398184,195,-0.15950914219685647,175,-0.004377067208539344,373,-0.04365539035844672,191,0.07780942201783186,182,-0.17280300551208555,False,False,0,0.004377067208539344,False
